freq_MHz,dBuV_y
30000000.0,10.35765
30003125.0,10.37736
30006250.0,10.39568
30009375.0,10.4125805
30012500.0,10.42807
30015625.0,10.44218
30018750.0,10.45492
30021875.0,10.46632
30025000.0,10.4764
30028125.0,10.48521
30031250.0,10.49278
30034375.0,10.49915
30037500.0,10.50438
30040625.0,10.50851
30043750.0,10.51158
30046875.0,10.51365
30050000.0,10.5147705
30053125.0,10.51499
30056250.0,10.51438
30059375.0,10.51298
30062500.0,10.51086
30065625.0,10.50803
30068750.0,10.5045805
30071875.0,10.50055
30075000.0,10.49596
30078125.0,10.49087
30081250.0,10.48533
30084375.0,10.47936
30087500.0,10.47301
30090625.0,10.46626
30093750.0,10.4592
30096875.0,10.45183
30100000.0,10.49145
30103125.0,10.56609
30106250.0,10.63589
30109375.0,10.70081
30112500.0,10.76074
30115625.0,10.81564
30118750.0,10.86543
30121875.0,10.91005
30125000.0,10.94942
30128125.0,10.98349
30131250.0,11.01218
30134375.0,11.03543
30137500.0,11.05317
30140625.0,11.0653305
30143750.0,11.07183
30146875.0,11.07257
30150000.0,11.0675
30153125.0,11.05655
30156250.0,11.03961
30159375.0,11.01663
30162500.0,10.98752
30165625.0,10.95219
30168750.0,10.91061
30171875.0,10.86269
30175000.0,10.80838
30178125.0,10.74764
30181250.0,10.68043
30184375.0,10.60672
30187500.0,10.52649
30190625.0,10.43979
30193750.0,10.37683
30196875.0,10.39217
30200000.0,10.40858
30203125.0,10.4259
30206250.0,10.44391
30209375.0,10.46237
30212500.0,10.48106
30215625.0,10.49969
30218750.0,10.51801
30221875.0,10.53574
30225000.0,10.5526
30228125.0,10.56834
30231250.0,10.58273
30234375.0,10.59552
30237500.0,10.60649
30240625.0,10.61545
30243750.0,10.62222
30246875.0,10.62669
30250000.0,10.62872
30253125.0,10.62826
30256250.0,10.62524
30259375.0,10.61965
30262500.0,10.61151
30265625.0,10.60088
30268750.0,10.58783
30271875.0,10.57249
30275000.0,10.55498
30278125.0,10.5354805
30281250.0,10.51419
30284375.0,10.4913
30287500.0,10.46705
30290625.0,10.44172
30293750.0,10.41553
30296875.0,10.38876
30300000.0,10.3617
30303125.0,10.33461
30306250.0,10.30776
30309375.0,10.28145
30312500.0,10.25589
30315625.0,10.23135
30318750.0,10.20805
30321875.0,10.18617
30325000.0,10.16594
30328125.0,10.14747
30331250.0,10.1309
30334375.0,10.11634
30337500.0,10.10385
30340625.0,10.09348
30343750.0,10.08524
30346875.0,10.07912
30350000.0,10.07509
30353125.0,10.07307
30356250.0,10.07301
30359375.0,10.07478
30362500.0,10.07828
30365625.0,10.0834
30368750.0,10.08998
30371875.0,10.13248
30375000.0,10.25115
30378125.0,10.3634
30381250.0,10.46901
30384375.0,10.56781
30387500.0,10.65964
30390625.0,10.74437
30393750.0,10.82188
30396875.0,10.89207
30400000.0,10.95488
30403125.0,11.01022
30406250.0,11.05807
30409375.0,11.09838
30412500.0,11.13114
30415625.0,11.15635
30418750.0,11.174
30421875.0,11.1841
30425000.0,11.18669
30428125.0,11.18181
30431250.0,11.16951
30434375.0,11.14983
30437500.0,11.12288
30440625.0,11.0887
30443750.0,11.0474205
30446875.0,10.99915
30450000.0,10.94398
30453125.0,10.88209
30456250.0,10.81359
30459375.0,10.73866
30462500.0,10.65754
30465625.0,10.5704
30468750.0,10.49893
30471875.0,10.51155
30475000.0,10.52422
30478125.0,10.53696
30481250.0,10.54976
30484375.0,10.56258
30487500.0,10.57543
30490625.0,10.58826
30493750.0,10.601
30496875.0,10.61362
30500000.0,10.6260805
30503125.0,10.63831
30506250.0,10.65021
30509375.0,10.66175
30512500.0,10.67282
30515625.0,10.68336
30518750.0,10.6933
30521875.0,10.70254
30525000.0,10.71105
30528125.0,10.71874
30531250.0,10.72558
30534375.0,10.7315
30537500.0,10.73647
30540625.0,10.74047
30543750.0,10.74349
30546875.0,10.74556
